	Word	PoS	FrSp		LL	FrWr
	sometimes	Adv	199	-	2.4	206
	Mrs	NoC	150	-	147.4	204
	better	Adj	308	+	428.3	203
	doing	Verb	943	+	12144.6	202
	air	NoC	86	-	803.2	201
	language	NoC	79	-	914.2	200
	street	NoC	137	-	208.5	200
	result	NoC	74	-	1007.5	200
	rate	NoC	89	-	748.2	200
	little	DetP	37	-	1917.5	200
	hands	NoC	94	-	663.1	199
	trade	NoC	122	-	333.5	199
	off	Prep	341	+	759.6	199
	based	Verb	79	-	888.8	199
	heard	Verb	232	+	48.7	199
	human	Adj	51	-	1515.0	199
	experience	NoC	103	-	532.5	198
	mean	Verb	2250	+	53431.1	198
	training	NoC	156	-	93.8	198
	food	NoC	117	-	374.8	198
	similar	Adj	69	-	1059.1	198
	data	NoC	51	-	1494.2	197
	team	NoC	93	-	651.8	197
	yesterday	Adv	177	-	19.1	197
	section	NoC	89	-	715.5	197
	usually	Adv	144	-	144.4	197
	programme	NoC	131	-	235.5	197
	changes	NoC	69	-	1056.3	196
	common	Adj	67	-	1075.8	196
	role	NoC	66	-	1105.9	196
	cases	NoC	71	-	1012.9	195
	5	Num	5	-	3363.4	195
	Europe	NoP	62	-	1188.4	195
	shall	VMod	264	+	201.0	195
	nature	NoC	63	-	1150.8	195
	voice	NoC	48	-	1520.1	194
	necessary	Adj	71	-	981.6	194
	sir	NoC	143	-	138.2	194
	so that	Conj	231	+	64.7	193
	UK	NoP	0	-	3746.8	193
	subject	NoC	66	-	1059.8	192
	back	NoC	270	+	259.9	192
	course	NoC	143	-	128.0	192
	once	Adv	114	-	343.3	191
	indeed	Adv	166	-	32.9	191
	word	NoC	214	+	24.8	191
	ago	Adv	259	+	200.2	191
	authority	NoC	118	-	304.8	191
	companies	NoC	74	-	893.6	190
	since	Prep	72	-	922.6	190
	land	NoC	166	-	28.8	190
	committee	NoC	187	-	0.6	190
	God	NoP	305	+	536.0	190
	as well as	Prep	55	-	1268.0	190
	patients	NoC	36	-	1788.9	189
	class	NoC	108	-	390.0	189
	personal	Adj	65	-	1051.3	189
	hours	NoC	191	+	0.2	189
	all	Adv	229	+	73.9	189
	systems	NoC	43	-	1558.4	188
	herself	Pron	38	-	1723.7	187
	especially	Adv	89	-	607.9	187
	someone	Pron	181	-	1.8	187
	value	NoC	70	-	919.9	187
	department	NoC	91	-	573.9	187
	former	DetP	21	-	2312.2	187
	simply	Adv	98	-	488.7	187
	single	Adj	94	-	538.6	187
	home	Adv	265	+	275.9	185
	private	Adj	69	-	920.4	185
	member	NoC	85	-	649.6	185
	working	Verb	282	+	412.8	184
	practice	NoC	62	-	1041.6	184
	long	Adv	153	-	49.3	184
	morning	NoC	459	+	2610.4	183
	town	NoC	159	-	30.1	182
	short	Adj	127	-	179.3	182
	half	DetP	440	+	2322.1	182
	true	Adj	177	-	1.3	182
	because of	Prep	142	-	87.5	182
	show	Verb	169	-	7.3	181
	reason	NoC	180	-	0.0	181
	right	NoC	67	-	896.5	181
	countries	NoC	57	-	1115.4	180
	try	Verb	396	+	1728.1	180
	oh	Int	5052	+	166592.5	179
	else	Adv	475	+	2990.5	178
	wife	NoC	107	-	315.7	178
	figure	NoC	97	-	424.4	178
	rather than	Prep	101	-	373.5	177
